"club_id","club_number","club_name","address1","club_name_identifier","address2","locator","city","state","zip","country","phone","fax","email","website_url","open","map"
"1","95","Minneapolis - 46th Street","3810 East 46th St.","Minneapolis-46th Street - 95","","Just E of Hiawatha Ave on 46th St","Minneapolis","MN","55406","USA","612-729-9562","","46thstreet@snapfitness.com","www.snapfitness.com/46thstreet","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_95.pdf"
"2","122","Albert Lea","1641 Blake Ave.","Albert Lea - 122","","","Albert Lea","MN","56007","USA","5073771290","","albertlea@snapfitness.com","www.snapfitness.com/albertlea","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_122.pdf"
"3","46","Albertville","5262 Kyler Ave. NE","Albertville - 46","","Strip mall North of Allina Clinic","Albertville","MN","55301","USA","7633917627","","albertville@snapfitness.com","www.snapfitness.com/albertville","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_46.pdf"
"4","14","Alexandria","410 30th Ave. East","Alexandria - 14","","","Alexandria","MN","56308","USA","3207628879","","alexandria@snapfitness.com","www.snapfitness.com/alexandria","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_14.pdf"
"6","168","Algonquin","1042 E. Algonquin Rd.","Algonquin - 168","","On Rt. 62 just east of Rt. 31","Algonquin","IL","60102","USA","8478543481","","algonquin@snapfitness.com","www.snapfitness.com/algonquin","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_168.pdf"
"7","75","Amery","930 Elden Ave.","Amery - 75","","Located in the Sears Mall","Amery","WI","54001","USA","7152549652","","amery@snapfitness.com","www.snapfitness.com/amery","Yes",""
"8","148","Amherst","167 North Main","Amherst - 148","","","Amherst","WI","54406","USA","7158247627","","amherst@snapfitness.com","www.snapfitness.com/amherst","Yes",""
"9","66","Ankeny","1810 S.W. White Birch Circle Suite 107","Ankeny - 66","","","Ankeny","IA","50023","USA","5153397018","","ankeny@snapfitness.com","www.snapfitness.com/ankeny","Yes",""
"10","9","Annandale","990 Elm St. Suite 300","Annandale - 9","","","Annandale","MN","55302","USA","3202747627","","annandale@snapfitness.com","www.snapfitness.com/annandale","Yes",""
"11","22","Anoka","3841 St. Francis Blvd.","Anoka - 22","","Next to Dunn Bros Coffee","Anoka","MN","55303","USA","7634339083","","anoka@snapfitness.com","www.snapfitness.com/anoka","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_22.pdf"
"12","18","Apple Valley","14050 Pilot Knob Rd. Unit 106","Apple Valley - 18","","North of 42 on Pilot Knob Rd","Apple Valley","MN","55124","USA","9523224560","","applevalley@snapfitness.com","www.snapfitness.com/applevalley","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_18.pdf"
"14","198","Arlington","428 West Main St.","Arlington - 198","","We are located on main street","Arlington","MN","55307","USA","5079645664","","arlington@snapfitness.com","www.snapfitness.com/arlington","Yes",""
"15","54","Ashland","1804 E Lakeshore Drive","Ashland - 54","","","Ashland","WI","54806","USA","7156820141","","ashland@snapfitness.com","www.snapfitness.com/ashland","Yes",""
"16","178","Atlanta - Glenwood Park","920 Glenwood Ave. Suite 102/103","Atlanta-Glenwood Park - 178","","In Beautiful Glenwood Park!","Atlanta","GA","30316","USA","4046278000","","atlanta1@snapfitness.com","www.snapfitness.com/atlanta1","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_178.pdf"
"17","149","Baldwin","570 10th Ave","Baldwin - 149","","Just north of hospital on Hwy 63","Baldwin","WI","54002","USA","7156886888","","baldwin@snapfitness.com","www.snapfitness.com/baldwin","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_149.pdf"
"19","98","Baton Rouge","14241 Coursey Blvd.","Baton Rouge - 98","","By the Walmart Neighborhood Market","Baton Rouge","LA","70809","USA","2257510121","","batonrouge1@snapfitness.com","www.snapfitness.com/batonrouge1","Yes",""
"20","153","Baton Rouge","17002 Jefferson Hwy","Baton Rouge - 153","","on Jefferson @ Highland Rd","Baton Rouge","LA","70817","USA","2257511881","","batonrouge2@snapfitness.com","www.snapfitness.com/batonrouge2","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_153.pdf"
"21","176","Baton Rouge","257 Lee Drive","Baton Rouge - 176","Next to Papa John's","Snap Fitness","Baton Rouge","LA","70808","USA","2256157936","","batonrouge3@snapfitness.com","www.snapfitness.com/batonrouge3","Yes",""
"22","156","Beaver Dam","111 E. Burnett Street","Beaver Dam - 156","","","Beaver Dam","WI","53916","USA","9203560600","","beaverdam@snapfitness.com","www.snapfitness.com/beaverdam","Yes",""
"23","143","Becker","14275 Bank St.","Becker - 143","","(Located in Becker Square Mall)","Becker","MN","55308","USA","7632625995","","becker@snapfitness.com","www.snapfitness.com/becker","Yes",""
"24","16","Belle Plaine","320 Laredo St. Unit 1","Belle Plaine - 16","","","Belle Plaine","MN","56011","USA","9528736663","","belleplaine@snapfitness.com","www.snapfitness.com/belleplaine","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_16.pdf"
