"LOCATIONNUMBER","OLDLOCATIONID","LOCATIONID","NAME","PHONE","EMAIL","ADDRESS1","ADDRESS2","CITY","STATE","POSTALCODE","COUNTRY","BUSINESSENTITYCODE","LOCATIONSTATUSNAME","LOCATIONSTATUSCODE","WEBSITEURL","LOCATIONDESCRIPTION","LOCATIONNAMEIDENTIFIER","ISCORPORATE","MAP"
"","","7144","United Kingdom AD","","","","","","AR","","GBR","snapfitness","Open","open","","","United Kingdom AD - ","0",""
"","","7193","Spain Master","","","","","","AL","","USA","snapfitness","Open","open","","","Spain Master - ","0",""
"","","101680","Houston","","","","","","TX","","USA","kosama","Open","open","","","Houston - ","0",""
"1","","182","River Falls","715--42-5-93","riverfalls@snapfitness.com","1025 S. Main St.","","River Falls","WI","54022","USA","snapfitness","Open","open","www.snapfitness.com/riverfalls","","River Falls - 1","0",""
"10","","92","Hastings","651-438-9309","hastings@snapfitness.com","275 33rd West St. Suite B","","Hastings","MN","55033","USA","snapfitness","Open","open","www.snapfitness.com/hastings","","Hastings - 10","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_10.pdf"
"10000","","2054","Chanhassen","952--47-4-54","bsimondet@snapfitness.com","2411 Galpin Court","Suite 110","Chanhassen","MN","55317","USA","snapfitness","Open","open","www.snapfitness.com/snapfitness","","Chanhassen - 10000","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_10000.pdf"
"100000","","100000","Altoona","515-957-0199","altoona@kosama.com","3160 8th Street SW","Suites J&K","Altoona","IA","50009","USA","kosama","Open","open","www.kosama.com/altoona","","Altoona - 100000","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100000.pdf"
"100001","","100001","Ames","515-509-6904","ames@kosama.com","546 Main Street","Suite 101","Ames","IA","50010","USA","kosama","Open","open","www.kosama.com/ames","","Ames - 100001","0",""
"100002","","100002","Ankeny","515-965-4321","ankeny@kosama.com","1555 SE Delaware","Suite E","Ankeny","IA","50021","USA","kosama","Open","open","www.kosama.com/ankeny","","Ankeny - 100002","0",""
"100003","","100003","Cedar Falls","319-242-7518","cedarfalls@kosama.com","6322 University Ave","Suite O","Cedar Falls","IA","50613","USA","kosama","Open","open","www.kosama.com/cedarfalls","","Cedar Falls - 100003","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100003.pdf"
"100004","","100004","Clive","515-490-1320","clive@kosama.com","2100 NW 100 St.","Suite 201","Clive","IA","50325","USA","kosama","Open","open","www.kosama.com/clive","","Clive - 100004","0",""
"100005","","100005","Davenport","563-343-2774","davenport@kosama.com","1430 E. 52nd St","Suite 5 & 6","Davenport","IA","52807","USA","kosama","Open","open","www.kosama.com/davenport","","Davenport - 100005","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100005.pdf"
"100006","","100006","Des Moines","515-505-7211","downtown@kosama.com","1905 Ingersoll Ave","Suites 101 - 103","Des Moines","IA","50309","USA","kosama","Open","open","www.kosama.com/desmoines","","Des Moines - 100006","1",""
"100007","","100007","Johnston","515-278-2781","johnston@kosama.com","8805 Chambery Blvd","Suite 400","Johnston","IA","50131","USA","kosama","Open","open","www.kosama.com/johnston","","Johnston - 100007","0",""
